Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"000660","SK HYNIX INC","Equity","0.53","88.70","1,144,981.00","101,560,212.11","101,560,212.11","Information Technology","KR7000660001","Korea Exchange (Stock Market)","Korea (South)","KRW"
"GAZP","GAZPROM","Equity","0.53","4.13","24,447,068.00","100,905,195.25","100,905,195.25","Energy","RU0007661625","Standard-Classica-Forts","Russian Federation","RUB"
"SBER","SBERBANK ROSSII","Equity","0.52","4.47","22,412,190.00","100,269,452.03","100,269,452.03","Financials","RU0009029540","Standard-Classica-Forts","Russian Federation","RUB"
"TCS","TATA CONSULTANCY SERVICES LTD","Equity","0.50","50.51","1,911,595.00","96,556,849.07","96,556,849.07","Information Technology","INE467B01029","National Stock Exchange Of India","India","INR"
"1810","XIAOMI CORP","Equity","0.50","3.19","30,162,200.00","96,264,607.03","96,264,607.03","Information Technology","KYG9830T1067","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Equity","0.49","35.09","2,695,561.00","94,573,757.69","94,573,757.69","Financials","DE000A0Q4R85","Xetra","Germany","USD"
"035420","NAVER CORP","Equity","0.49","366.80","253,900.00","93,130,393.80","93,130,393.80","Communication","KR7035420009","Korea Exchange (Stock Market)","Korea (South)","KRW"
"PDD","PINDUODUO ADR REPRESENTING INC","Equity","0.45","94.98","902,181.00","85,689,151.38","85,689,151.38","Consumer Discretionary","US7223041028","NASDAQ","China","USD"
"BIDU","BAIDU ADS REPTG INC CLASS A","Equity","0.44","153.18","555,180.00","85,042,472.40","85,042,472.40","Communication","US0567521085","NASDAQ","China","USD"
"035720","KAKAO CORP","Equity","0.44","129.84","646,337.00","83,918,288.98","83,918,288.98","Communication","KR7035720002","Korea Exchange (Stock Market)","Korea (South)","KRW"
"006400","SAMSUNG SDI LTD","Equity","0.40","653.90","115,941.00","75,813,500.45","75,813,500.45","Information Technology","KR7006400006","Korea Exchange (Stock Market)","Korea (South)","KRW"
"LKOH","NK LUKOIL","Equity","0.39","87.55","861,760.00","75,451,061.69","75,451,061.69","Energy","RU0009024277","Standard-Classica-Forts","Russian Federation","RUB"
"NTES","NETEASE ADR INC","Equity","0.39","89.62","834,402.00","74,779,107.24","74,779,107.24","Communication","US64110W1027","NASDAQ","China","USD"
"1120","AL RAJHI BANK","Equity","0.38","32.15","2,254,905.00","72,506,143.82","72,506,143.82","Financials","SA0007879113","Saudi Stock Exchange","Saudi Arabia","SAR"
"NPN","NASPERS LIMITED N LTD","Equity","0.38","159.58","451,460.00","72,045,170.22","72,045,170.22","Consumer Discretionary","ZAE000015889","Johannesburg Stock Exchange","South Africa","ZAR"
"AMXL","AMERICA MOVIL L","Equity","0.36","0.97","71,466,313.00","69,016,648.02","69,016,648.02","Communication","MXP001691213","Bolsa Mexicana De Valores","Mexico","MXN"
"3968","CHINA MERCHANTS BANK LTD H","Equity","0.35","8.18","8,216,992.00","67,224,801.78","67,224,801.78","Financials","CNE1000002M1","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Equity","0.35","0.56","118,693,346.00","66,159,670.91","66,159,670.91","Financials","CNE1000003G1","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"1180","THE SAUDI NATIONAL BANK","Equity","0.34","16.00","4,063,497.00","65,005,551.11","65,005,551.11","Financials","SA13L050IE10","Saudi Stock Exchange","Saudi Arabia","SAR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Equity","0.33","36.68","1,709,115.00","62,688,082.95","62,688,082.95","Consumer Staples","INE030A01027","National Stock Exchange Of India","India","INR"
"051910","LG CHEM LTD","Equity","0.32","659.90","94,349.00","62,260,556.20","62,260,556.20","Materials","KR7051910008","Korea Exchange (Stock Market)","Korea (South)","KRW"
"2331","LI NING LTD","Equity","0.31","13.02","4,596,000.00","59,854,279.71","59,854,279.71","Consumer Discretionary","KYG5496K1242","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"3988","BANK OF CHINA LTD H","Equity","0.30","0.35","166,213,000.00","57,637,612.94","57,637,612.94","Financials","CNE1000001Z5","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Equity","0.30","5.97","9,509,073.00","56,778,674.88","56,778,674.88","Other","IE00BYYR0489","London Stock Exchange","Ireland","USD"
"2303","UNITED MICRO ELECTRONICS CORP","Equity","0.29","2.26","24,329,000.00","54,975,845.13","54,975,845.13","Information Technology","TW0002303005","Taiwan Stock Exchange","Taiwan","TWD"
"BAJFINANCE","BAJAJ FINANCE LTD","Equity","0.29","97.79","561,633.00","54,920,189.88","54,920,189.88","Financials","INE296A01024","National Stock Exchange Of India","India","INR"
"1211","BYD LTD H","Equity","0.28","33.57","1,610,000.00","54,051,617.29","54,051,617.29","Consumer Discretionary","CNE100000296","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"YUMC","YUM CHINA HOLDINGS INC","Equity","0.28","60.55","889,106.00","53,835,368.30","53,835,368.30","Consumer Discretionary","US98850P1093","New York Stock Exchange Inc.","China","USD"
"2010","SAUDI BASIC INDUSTRIES","Equity","0.28","32.53","1,651,580.00","53,722,807.02","53,722,807.02","Materials","SA0007879121","Saudi Stock Exchange","Saudi Arabia","SAR"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Equity","0.28","5.89","8,992,651.00","52,973,962.32","52,973,962.32","Financials","BRITUBACNPR1","XBSP","Brazil","BRL"
"BBCA","BANK CENTRAL ASIA","Equity","0.27","2.28","22,847,300.00","52,189,465.73","52,189,465.73","Financials","ID1000109507","Indonesia Stock Exchange","Indonesia","IDR"
"005380","HYUNDAI MOTOR","Equity","0.27","179.97","287,106.00","51,670,960.28","51,670,960.28","Consumer Discretionary","KR7005380001","Korea Exchange (Stock Market)","Korea (South)","KRW"
"AXISBANK","AXIS BANK LTD","Equity","0.26","10.70","4,710,565.00","50,402,220.73","50,402,220.73","Financials","INE238A01034","National Stock Exchange Of India","India","INR"
"068270","CELLTRION INC","Equity","0.26","249.39","198,251.00","49,441,694.31","49,441,694.31","Health Care","KR7068270008","Korea Exchange (Stock Market)","Korea (South)","KRW"
"QNBK","QATAR NATIONAL BANK","Equity","0.25","5.25","9,297,839.00","48,800,248.09","48,800,248.09","Financials","QA0006929895","Qatar Exchange","Qatar","QAR"
"PETR4","PETROLEO BRASILEIRO PREF SA","Equity","0.25","5.46","8,781,654.00","47,936,734.25","47,936,734.25","Energy","BRPETRACNPR6","XBSP","Brazil","BRL"
"YNDX","YANDEX NV CLASS A","Equity","0.24","73.04","636,716.00","46,508,139.55","46,508,139.55","Communication","NL0009805522","Standard-Classica-Forts","Russian Federation","RUB"
"2020","ANTA SPORTS PRODUCTS LTD","Equity","0.24","20.40","2,242,000.00","45,726,013.50","45,726,013.50","Consumer Discretionary","KYG040111059","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"NBK","NATIONAL BANK OF KUWAIT","Equity","0.24","3.12","14,463,966.00","45,199,893.75","45,199,893.75","Financials","KW0EQ0100010","Kuwait Stock Exchange","Kuwait","KWD"
"005490","POSCO","Equity","0.23","284.53","157,363.00","44,773,977.80","44,773,977.80","Materials","KR7005490008","Korea Exchange (Stock Market)","Korea (South)","KRW"
"NVTK","PAO NOVATEK GDR","Equity","0.23","230.90","191,908.00","44,311,557.20","44,311,557.20","Energy","US6698881090","London Stock Exchange","Russian Federation","USD"
"FSR","FIRSTRAND LTD","Equity","0.23","4.14","10,522,018.00","43,606,778.41","43,606,778.41","Financials","ZAE000066304","Johannesburg Stock Exchange","South Africa","ZAR"
"GMKN","GMK NORILSKIY NIKEL","Equity","0.23","330.66","131,377.00","43,441,399.11","43,441,399.11","Materials","RU0007288411","Standard-Classica-Forts","Russian Federation","RUB"
"BHARTIARTL","BHARTI AIRTEL LTD","Equity","0.22","8.47","5,064,940.00","42,885,848.38","42,885,848.38","Communication","INE397D01024","National Stock Exchange Of India","India","INR"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Equity","0.22","28.95","1,478,100.00","42,789,278.40","42,789,278.40","Information Technology","KYG8586D1097","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"FAB","FIRST ABU DHABI BANK","Equity","0.22","4.63","9,071,542.00","41,984,730.82","41,984,730.82","Financials","AEN000101016","Abu Dhabi Securities Exchange","United Arab Emirates","AED"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Equity","0.22","3.45","12,147,897.00","41,969,192.64","41,969,192.64","Consumer Discretionary","KYG3777B1032","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"2881","FUBON FINANCIAL HOLDING LTD","Equity","0.22","3.05","13,589,000.00","41,464,015.98","41,464,015.98","Financials","TW0002881000","Taiwan Stock Exchange","Taiwan","TWD"
"2308","DELTA ELECTRONICS INC","Equity","0.21","10.06","4,024,073.00","40,470,230.23","40,470,230.23","Information Technology","TW0002308004","Taiwan Stock Exchange","Taiwan","TWD"
"BBDC4","BANCO BRADESCO PREF SA","Equity","0.21","4.44","9,100,788.00","40,410,107.30","40,410,107.30","Financials","BRBBDCACNPR8","XBSP","Brazil","BRL"
"7010","SAUDI TELECOM","Equity","0.20","34.98","1,118,383.00","39,122,233.67","39,122,233.67","Communication","SA0007879543","Saudi Stock Exchange","Saudi Arabia","SAR"
"PETR3","PETROBRAS","Equity","0.20","5.54","6,983,302.00","38,685,743.33","38,685,743.33","Energy","BRPETRACNOR9","XBSP","Brazil","BRL"
"2319","CHINA MENGNIU DAIRY LTD","Equity","0.20","5.93","6,500,000.00","38,568,483.78","38,568,483.78","Consumer Staples","KYG210961051","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"2222","SAUDI ARABIAN OIL","Equity","0.20","9.35","4,103,969.00","38,352,293.89","38,352,293.89","Energy","SA14TG012N13","Saudi Stock Exchange","Saudi Arabia","SAR"
"000270","KIA CORPORATION CORP","Equity","0.20","70.79","540,977.00","38,295,153.79","38,295,153.79","Consumer Discretionary","KR7000270009","Korea Exchange (Stock Market)","Korea (South)","KRW"
"600519","KWEICHOW MOUTAI LTD A","Equity","0.20","245.41","155,586.00","38,182,681.33","38,182,681.33","Consumer Staples","CNE0000018R8","Shanghai Stock Exchange","China","CNY"
"WALMEX*","WALMART DE MEXICO V","Equity","0.19","3.51","10,594,438.00","37,193,687.70","37,193,687.70","Consumer Staples","MX01WA000038","Bolsa Mexicana De Valores","Mexico","MXN"
"105560","KB FINANCIAL GROUP INC","Equity","0.19","44.99","808,983.00","36,398,515.23","36,398,515.23","Financials","KR7105560007","Korea Exchange (Stock Market)","Korea (South)","KRW"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Equity","0.19","21.02","1,710,400.00","35,960,324.42","35,960,324.42","Consumer Discretionary","KYG8087W1015","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"HCLTECH","HCL TECHNOLOGIES LTD","Equity","0.19","15.88","2,255,398.00","35,808,420.30","35,808,420.30","Information Technology","INE860A01027","National Stock Exchange Of India","India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Equity","0.18","2.14","16,188,402.00","34,658,435.82","34,658,435.82","Financials","TW0002882008","Taiwan Stock Exchange","Taiwan","TWD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","0.18","8.62","4,006,695.00","34,521,668.20","34,521,668.20","Consumer Staples","MXP320321310","Bolsa Mexicana De Valores","Mexico","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Equity","0.18","6.38","5,386,091.00","34,390,177.66","34,390,177.66","Financials","MXP370711014","Bolsa Mexicana De Valores","Mexico","MXN"
"ASIANPAINT","ASIAN PAINTS LTD","Equity","0.18","42.42","798,229.00","33,864,620.42","33,864,620.42","Materials","INE021A01026","National Stock Exchange Of India","India","INR"
"1303","NAN YA PLASTICS CORP","Equity","0.17","3.15","10,541,000.00","33,225,684.11","33,225,684.11","Materials","TW0001303006","Taiwan Stock Exchange","Taiwan","TWD"
"2002","CHINA STEEL CORP","Equity","0.17","1.35","24,144,080.00","32,578,414.26","32,578,414.26","Materials","TW0002002003","Taiwan Stock Exchange","Taiwan","TWD"
"LI","LI AUTO ADR INC","Equity","0.17","29.03","1,114,952.00","32,367,056.56","32,367,056.56","Consumer Discretionary","US50202M1027","NASDAQ","China","USD"
"XPEV","XPENG ADR REPRESENTING INC","Equity","0.17","40.75","792,128.00","32,279,216.00","32,279,216.00","Consumer Discretionary","US98422D1054","New York Stock Exchange Inc.","China","USD"
"USD","USD CASH","Cash","0.17","100.00","32,275,449.00","32,275,448.68","32,275,448.68","Cash and/or Derivatives","-","-","United States","USD"
"2412","CHUNGHWA TELECOM LTD","Equity","0.17","3.99","7,974,000.00","31,848,370.90","31,848,370.90","Communication","TW0002412004","Taiwan Stock Exchange","Taiwan","TWD"
"3711","ASE TECHNOLOGY HOLDING LTD","Equity","0.17","4.64","6,860,734.00","31,845,517.01","31,845,517.01","Information Technology","TW0003711008","Taiwan Stock Exchange","Taiwan","TWD"
"012330","HYUNDAI MOBIS LTD","Equity","0.17","233.53","136,117.00","31,788,046.88","31,788,046.88","Consumer Discretionary","KR7012330007","Korea Exchange (Stock Market)","Korea (South)","KRW"
"2891","CTBC FINANCIAL HOLDING LTD","Equity","0.17","0.82","38,532,079.00","31,750,161.35","31,750,161.35","Financials","TW0002891009","Taiwan Stock Exchange","Taiwan","TWD"
"MTN","MTN GROUP LTD","Equity","0.16","8.94","3,509,162.00","31,376,760.56","31,376,760.56","Communication","ZAE000042164","Johannesburg Stock Exchange","South Africa","ZAR"
"2688","ENN ENERGY HOLDINGS LTD","Equity","0.16","19.12","1,637,600.00","31,316,971.80","31,316,971.80","Utilities","KYG3066L1014","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Equity","0.16","0.27","113,967,100.00","31,247,764.37","31,247,764.37","Financials","ID1000118201","Indonesia Stock Exchange","Indonesia","IDR"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Equity","0.16","2.64","11,663,813.00","30,822,424.82","30,822,424.82","Financials","BRB3SAACNOR6","XBSP","Brazil","BRL"
"PBBANK","PUBLIC BANK","Equity","0.16","1.01","30,033,000.00","30,199,167.67","30,199,167.67","Financials","MYL1295OO004","Bursa Malaysia","Malaysia","MYR"
"TCOM","TRIP COM GROUP ADR LTD","Equity","0.16","28.59","1,045,754.00","29,898,106.86","29,898,106.86","Consumer Discretionary","US89677Q1076","NASDAQ","China","USD"
"TWD","TWD CASH","Cash","0.15","3.60","821,144,857.00","29,546,618.81","29,546,618.81","Cash and/or Derivatives","-","-","Taiwan","TWD"
"GMEXICOB","GRUPO MEXICO B","Equity","0.15","4.61","6,405,368.00","29,509,877.21","29,509,877.21","Materials","MXP370841019","Bolsa Mexicana De Valores","Mexico","MXN"
"2333","GREAT WALL MOTOR LTD H","Equity","0.15","4.60","6,392,500.00","29,392,125.76","29,392,125.76","Consumer Discretionary","CNE100000338","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"LT","LARSEN AND TOUBRO LTD","Equity","0.15","22.66","1,296,661.00","29,376,064.30","29,376,064.30","Industrials","INE018A01030","National Stock Exchange Of India","India","INR"
"ABEV3","AMBEV SA","Equity","0.15","3.31","8,826,772.00","29,250,328.96","29,250,328.96","Consumer Staples","BRABEVACNOR1","XBSP","Brazil","BRL"
"055550","SHINHAN FINANCIAL GROUP LTD","Equity","0.15","32.82","889,356.00","29,191,699.70","29,191,699.70","Financials","KR7055550008","Korea Exchange (Stock Market)","Korea (South)","KRW"
"1301","FORMOSA PLASTICS CORP","Equity","0.15","3.69","7,826,000.00","28,863,681.34","28,863,681.34","Materials","TW0001301000","Taiwan Stock Exchange","Taiwan","TWD"
"BGNE","BEIGENE ADS REPRESENTING LTD","Equity","0.15","301.82","95,463.00","28,812,642.66","28,812,642.66","Health Care","US07725L1026","NASDAQ","China","USD"
"OTP","OTP BANK","Equity","0.15","60.17","465,373.00","28,002,415.77","28,002,415.77","Financials","HU0000061726","Budapest Stock Exchange","Hungary","HUF"
"207940","SAMSUNG BIOLOGICS LTD","Equity","0.14","811.59","33,947.00","27,550,935.42","27,550,935.42","Health Care","KR7207940008","Korea Exchange (Stock Market)","Korea (South)","KRW"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Equity","0.14","23.69","1,149,509.00","27,230,616.98","27,230,616.98","Financials","INE237A01028","National Stock Exchange Of India","India","INR"
"KFH","KUWAIT FINANCE HOUSE","Equity","0.14","2.76","9,783,426.00","26,962,965.94","26,962,965.94","Financials","KW0EQ0100085","Kuwait Stock Exchange","Kuwait","KWD"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Equity","0.14","5.04","5,331,867.00","26,859,341.17","26,859,341.17","Industrials","TW0002603008","Taiwan Stock Exchange","Taiwan","TWD"
"SBK","STANDARD BANK GROUP","Equity","0.14","10.01","2,659,600.00","26,618,496.30","26,618,496.30","Financials","ZAE000109815","Johannesburg Stock Exchange","South Africa","ZAR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Equity","0.14","92.76","284,655.00","26,403,567.42","26,403,567.42","Consumer Discretionary","INE585B01010","National Stock Exchange Of India","India","INR"
"066570","LG ELECTRONICS INC","Equity","0.14","119.55","218,174.00","26,083,278.06","26,083,278.06","Consumer Discretionary","KR7066570003","Korea Exchange (Stock Market)","Korea (South)","KRW"
"CEMEXCPO","CEMEX CPO","Equity","0.14","0.82","31,796,118.00","25,983,414.86","25,983,414.86","Materials","MXP225611567","Bolsa Mexicana De Valores","Mexico","MXN"
"GLOB","GLOBANT SA","Equity","0.14","322.60","80,414.00","25,941,556.40","25,941,556.40","Information Technology","LU0974299876","New York Stock Exchange Inc.","Argentina","USD"
"2886","MEGA FINANCIAL HOLDING LTD","Equity","0.14","1.17","22,180,137.00","25,898,042.41","25,898,042.41","Financials","TW0002886009","Taiwan Stock Exchange","Taiwan","TWD"
"5871","CHAILEASE HOLDING LTD","Equity","0.13","9.57","2,698,881.00","25,831,723.58","25,831,723.58","Financials","KYG202881093","Taiwan Stock Exchange","Taiwan","TWD"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Equity","0.13","2.58","9,945,736.00","25,623,471.12","25,623,471.12","Consumer Staples","TW0001216000","Taiwan Stock Exchange","Taiwan","TWD"
"TATASTEEL","TATA STEEL LTD","Equity","0.13","19.66","1,299,644.00","25,550,577.96","25,550,577.96","Materials","INE081A01012","National Stock Exchange Of India","India","INR"
"CPALL.R","CP ALL NON-VOTING DR PCL","Equity","0.13","1.98","12,834,200.00","25,403,491.99","25,403,491.99","Consumer Staples","TH0737010R15","Stock Exchange Of Thailand","Thailand","THB"
"TECHM","TECH MAHINDRA LTD","Equity","0.13","19.37","1,309,637.00","25,364,566.87","25,364,566.87","Information Technology","INE669C01036","National Stock Exchange Of India","India","INR"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Equity","0.13","0.48","52,890,000.00","25,133,474.18","25,133,474.18","Energy","CNE1000002Q2","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"2628","CHINA LIFE INSURANCE LTD H","Equity","0.13","1.67","14,983,000.00","25,016,086.26","25,016,086.26","Financials","CNE1000002L3","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"IMP","IMPALA PLATINUM LTD","Equity","0.13","15.19","1,642,973.00","24,950,697.63","24,950,697.63","Materials","ZAE000083648","Johannesburg Stock Exchange","South Africa","ZAR"
"ZTO","ZTO EXPRESS CAYMAN ADR REPRESENTIN","Equity","0.13","27.65","899,695.00","24,876,566.75","24,876,566.75","Industrials","US98980A1051","New York Stock Exchange Inc.","China","USD"
"PTT.R","PTT NON-VOTING DR PCL","Equity","0.13","1.19","20,826,100.00","24,861,718.27","24,861,718.27","Energy","TH0646010R18","Stock Exchange Of Thailand","Thailand","THB"
"6415","SILERGY CORP","Equity","0.13","142.67","174,000.00","24,824,496.70","24,824,496.70","Information Technology","KYG8190F1028","Taiwan Stock Exchange","Taiwan","TWD"
"BILI","BILIBILI AMERICAN DEPOSITARY SHARE","Equity","0.13","74.13","334,781.00","24,817,315.53","24,817,315.53","Communication","US0900401060","NASDAQ","China","USD"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Equity","0.13","8.04","3,023,333.00","24,307,346.48","24,307,346.48","Consumer Staples","HK0291001490","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"1109","CHINA RESOURCES LAND LTD","Equity","0.13","3.67","6,598,739.00","24,196,040.21","24,196,040.21","Real Estate","KYG2108Y1052","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"ETISALAT","EMIRATES TELECOM","Equity","0.13","6.47","3,719,221.00","24,078,263.99","24,078,263.99","Communication","AEE000401019","Abu Dhabi Securities Exchange","United Arab Emirates","AED"
"968","XINYI SOLAR HOLDINGS LTD","Equity","0.13","2.42","9,928,000.00","24,073,597.35","24,073,597.35","Information Technology","KYG9829N1025","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"TLKM","TELEKOMUNIKASI INDONESIA","Equity","0.12","0.24","100,393,500.00","23,753,507.31","23,753,507.31","Communication","ID1000129000","Indonesia Stock Exchange","Indonesia","IDR"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Equity","0.12","1.27","18,564,319.00","23,580,474.93","23,580,474.93","Health Care","HK1093012172","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"6098","COUNTRY GARDEN SERVICES HOLDINGS L","Equity","0.12","7.69","3,030,000.00","23,310,236.77","23,310,236.77","Industrials","KYG2453A1085","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Equity","0.12","105.13","221,470.00","23,283,744.07","23,283,744.07","Materials","INE481G01011","National Stock Exchange Of India","India","INR"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","Equity","0.12","1,220.38","19,034.00","23,228,706.35","23,228,706.35","Consumer Staples","KR7051900009","Korea Exchange (Stock Market)","Korea (South)","KRW"
"2884","E.SUN FINANCIAL HOLDING LTD","Equity","0.12","1.00","23,115,586.00","23,164,243.39","23,164,243.39","Financials","TW0002884004","Taiwan Stock Exchange","Taiwan","TWD"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Equity","0.12","78.18","294,599.00","23,031,473.24","23,031,473.24","Industrials","CNE100003662","Shenzhen Stock Exchange","China","CNY"
"086790","HANA FINANCIAL GROUP INC","Equity","0.12","37.41","612,937.00","22,928,996.91","22,928,996.91","Financials","KR7086790003","Korea Exchange (Stock Market)","Korea (South)","KRW"
"TCSG","TCS GROUP HOLDING REPR CLASS A RE","Equity","0.12","89.72","253,797.00","22,769,894.56","22,769,894.56","Financials","US87238U2033","Standard-Classica-Forts","Russian Federation","RUB"
"SSW","SIBANYE STILLWATER LTD","Equity","0.12","4.02","5,659,735.00","22,750,346.54","22,750,346.54","Materials","ZAE000259701","Johannesburg Stock Exchange","South Africa","ZAR"
"WEGE3","WEG SA","Equity","0.12","7.08","3,162,156.00","22,372,695.15","22,372,695.15","Industrials","BRWEGEACNOR0","XBSP","Brazil","BRL"
"096770","SK INNOVATION LTD","Equity","0.11","206.11","105,098.00","21,661,798.00","21,661,798.00","Energy","KR7096770003","Korea Exchange (Stock Market)","Korea (South)","KRW"
"ZLAB","ZAI LABORATORY ADR REPRESENTING LT","Equity","0.11","139.26","154,266.00","21,483,083.16","21,483,083.16","Health Care","US98887Q1040","NASDAQ","China","USD"
"1326","FORMOSA CHEMICALS & FIBRE CORP","Equity","0.11","3.02","7,099,000.00","21,431,232.57","21,431,232.57","Materials","TW0001326007","Taiwan Stock Exchange","Taiwan","TWD"
"SCC.R","SIAM CEMENT NON-VOTING DR PCL","Equity","0.11","13.19","1,597,700.00","21,066,407.89","21,066,407.89","Materials","TH0003010R12","Stock Exchange Of Thailand","Thailand","THB"
"CPI","CAPITEC LTD","Equity","0.11","128.17","161,752.00","20,731,805.79","20,731,805.79","Financials","ZAE000035861","Johannesburg Stock Exchange","South Africa","ZAR"
